,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,AgeGroup,Title,Embarked_C,Embarked_Q,Embarked_S
0,0,3,0,22,1,0,7.25,1,1,"[20, 40)",Mr,0,0,1
1,1,1,1,38,1,0,71.283302,1,1,"[20, 40)",Mrs,1,0,0
2,1,3,1,26,0,0,7.9250002,0,0,"[20, 40)",Miss,0,0,1
3,1,1,1,35,1,0,53.099998,1,1,"[20, 40)",Mrs,0,0,1
4,0,3,0,35,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
5,0,3,0,24,0,0,8.4582996,0,0,"[20, 40)",Mr,0,1,0
6,0,1,0,54,0,0,51.862499,0,0,"[40, 60)",Mr,0,0,1
7,0,3,0,2,3,1,21.075001,4,0,"[0, 20)",Master,0,0,1
8,1,3,1,27,0,2,11.1333,2,0,"[20, 40)",Mrs,0,0,1
9,1,2,1,14,1,0,30.070801,1,1,"[0, 20)",Mrs,1,0,0
10,1,3,1,4,1,1,16.700001,2,0,"[0, 20)",Miss,0,0,1
11,1,1,1,58,0,0,26.549999,0,0,"[40, 60)",Miss,0,0,1
12,0,3,0,20,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
13,0,3,0,39,1,5,31.275,6,0,"[20, 40)",Mr,0,0,1
14,0,3,1,14,0,0,7.8541999,0,0,"[0, 20)",Miss,0,0,1
15,1,2,1,55,0,0,16.0,0,0,"[40, 60)",Mrs,0,0,1
16,0,3,0,2,4,1,29.125,5,0,"[0, 20)",Master,0,1,0
17,1,2,0,31,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
18,0,3,1,31,1,0,18.0,1,1,"[20, 40)",Mrs,0,0,1
19,1,3,1,29,0,0,7.2249999,0,0,"[20, 40)",Mrs,1,0,0
20,0,2,0,35,0,0,26.0,0,0,"[20, 40)",Mr,0,0,1
21,1,2,0,34,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
22,1,3,1,15,0,0,8.0291996,0,0,"[0, 20)",Miss,0,1,0
23,1,1,0,28,0,0,35.5,0,0,"[20, 40)",Mr,0,0,1
24,0,3,1,8,3,1,21.075001,4,0,"[0, 20)",Miss,0,0,1
25,1,3,1,38,1,5,31.387501,6,0,"[20, 40)",Mrs,0,0,1
26,0,3,0,29,0,0,7.2249999,0,0,"[20, 40)",Mr,1,0,0
27,0,1,0,19,3,2,263.0,5,0,"[0, 20)",Mr,0,0,1
28,1,3,1,22,0,0,7.8792,0,0,"[20, 40)",Miss,0,1,0
29,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
30,0,1,0,40,0,0,27.7208,0,0,"[40, 60)",Valued Profession,1,0,0
31,1,1,1,35,1,0,146.5208,1,1,"[20, 40)",Mrs,1,0,0
32,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
33,0,2,0,66,0,0,10.5,0,0,"[60, 80)",Mr,0,0,1
34,0,1,0,28,1,0,82.170799,1,1,"[20, 40)",Mr,1,0,0
35,0,1,0,42,1,0,52.0,1,1,"[40, 60)",Mr,0,0,1
36,1,3,0,22,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
37,0,3,0,21,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
38,0,3,1,18,2,0,18.0,2,0,"[0, 20)",Miss,0,0,1
39,1,3,1,14,1,0,11.2417,1,1,"[0, 20)",Miss,1,0,0
40,0,3,1,40,1,0,9.4750004,1,1,"[40, 60)",Mrs,0,0,1
41,0,2,1,27,1,0,21.0,1,1,"[20, 40)",Mrs,0,0,1
42,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,1,0,0
43,1,2,1,3,1,2,41.579201,3,0,"[0, 20)",Miss,1,0,0
44,1,3,1,19,0,0,7.8792,0,0,"[0, 20)",Miss,0,1,0
45,0,3,0,30,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
46,0,3,0,33,1,0,15.5,1,1,"[20, 40)",Mr,0,1,0
47,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
48,0,3,0,22,2,0,21.679199,2,0,"[20, 40)",Mr,1,0,0
49,0,3,1,18,1,0,17.799999,1,1,"[0, 20)",Mrs,0,0,1
50,0,3,0,7,4,1,39.6875,5,0,"[0, 20)",Master,0,0,1
51,0,3,0,21,0,0,7.8000002,0,0,"[20, 40)",Mr,0,0,1
52,1,1,1,49,1,0,76.729202,1,1,"[40, 60)",Mrs,1,0,0
53,1,2,1,29,1,0,26.0,1,1,"[20, 40)",Mrs,0,0,1
54,0,1,0,65,0,1,61.979198,1,1,"[60, 80)",Mr,1,0,0
55,1,1,0,42,0,0,35.5,0,0,"[40, 60)",Mr,0,0,1
56,1,2,1,21,0,0,10.5,0,0,"[20, 40)",Miss,0,0,1
57,0,3,0,28,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
58,1,2,1,5,1,2,27.75,3,0,"[0, 20)",Miss,0,0,1
59,0,3,0,11,5,2,46.900002,7,0,"[0, 20)",Master,0,0,1
60,0,3,0,22,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
